review_text,label
잘 늘어나서 흘리고 지퍼가 없어서 뛰면서 빠짐,0
생각보다 착용감이 좀 불편하네요..,0
런닝하면서 구매했는데 편안합니다,1
한 번 세탁했더니 로고부분이 다 떨어지네요 ㅎ;; 그리고 소지품 넣는 부분이 그냥 뚫려있는 스타일이네요 달리면서 좀 신경은 쓰이더라고요,0
"착용감 편해요 흐러내리지도  않고 하지만 가장중요한
실용성은 없네요 내구성도 3번사용만에 트더지고요",0
가볍고 폰넣기좋아요,1
그냥그렇네요 구매는 비추합니다,0
바느질이 안촣아요.,0
"너무 헐런거려요,,,,전 비추 ㅠ",0
휴대폰넣으면 빠져요,0
굿굿굿 달리기하는데 굿구사유뮤마탸도듀쳐다로묘ㅛ쥬어아리우너ㅑ타구조뵾ㅁㅍ누터ㅑㅇ애ㅐ츠거어듀야랴어거러ㅜ거러,1
아쉬워요&hellip;.자크가 없어서,0
허리 26인데 고정도 딱 되고 좋습니다.,1
"물품을 넣을 수 있어서 편하기 하지만
벨트가 자꾸 내려와서 불편하게만 느껴져요",0
실용성이 없고 내구성도 없어 보입니다.,0
"근양근양...
생각보단...
칸이 안나눠졌다는게 좀...",0
핏플립벨트 죠와요잉,1
팬티입듯 입어야해서 불편하고 넣고 빼기도쉽지않아요,0
배송너무느림 제품 마감도 그닥,0
땀이 차면 흘러내리는감이 있네요,0
표시된거보다 사이즈도 적고 지퍼도 없어서 사용못하고 있어요,0
"골반에차려고 m사이즈삿어요
딱좋네요!",1
날 추워지기 전에 사길 잘했어요 뛸때 핸드폰 안들고 다녀서 좋아여.,1
"처음 사용해봤는데 좋았어요 
확실히 있으니 편하네요",1
허리30인치인데 s너무작아서 못쓰겠어요,0
뛰어도 안흔들리고 딱 고정되어 좋아요,1
"배송 빠르고 이것저것 다들어가고
흔들림적어 런닝 필수템 입니다",1
음 짱짱하고 폰이 안빠져서 좋네요,1
매우 별로임 잘못산듯,0
"화학제품 냄새가 좀 많이 나네요. 옷 위에 걸치는 물건이긴 하지만

맨살에 걸칠 수도 있는데 마지막 처리까지 신경 써서 해 주셨으면 합니다.",0
사이즈가안맞는지 헐렁헐렁,0
"오래쓰면 헐렁 해짐
쓸만은 함",0
달리다보면 뒤집어짐 비추입니다,0
휴대폰 안정적으로 잡아주네요,1
.................................................................,0
착용후 러닝결과 생각보다 착용감이 무거워서 아쉽네요.,0
"튼튼해보이고 핸드폰도 잘 들어가고 만족합니다~ 옆구리쪽 제봉선 부분이 좀 울퉁불퉁두툼해서 신경쓰이긴 하지만 크게 불편하진 않아요.
보통 체격 여자는 s 사라는 후기들이 많아서 고민 했는데 전 배 찡기는 거 싫기도 하고 골반쪽에 하는 게 좋다 그래서 m 샀는데 편하고 좋은 것 같아요. 
바지 28~29 입고 배 예민한 사람입니다.",1
기대한 것보다 잘 흘러내려서 아쉬워요.,0
"상품을 못받았는데 배송완료.
 문의 답변도 안해주네요.",0
